open_time,open,high,low,close,volume,close_time
1741191300000,87919.83000000,89480.00000000,87600.00000000,87938.11000000,1511.80599000,1741192199999
1741192200000,87938.11000000,88320.00000000,87648.24000000,88108.44000000,367.65243000,1741193099999
1741193100000,88108.91000000,89270.80000000,87985.15000000,88926.53000000,625.12949000,1741193999999
1741194000000,88927.14000000,89364.86000000,88785.63000000,89130.01000000,560.86386000,1741194899999
1741194900000,89130.01000000,90082.77000000,89099.05000000,90040.81000000,589.89407000,1741195799999
1741195800000,90040.81000000,90475.30000000,89587.34000000,89745.30000000,614.36191000,1741196699999
1741196700000,89745.31000000,90032.32000000,89324.00000000,89687.99000000,332.84461000,1741197599999
1741197600000,89687.99000000,89943.40000000,88881.66000000,89250.51000000,641.04480000,1741198499999
1741198500000,89250.51000000,89482.34000000,89027.56000000,89405.83000000,258.80087000,1741199399999
1741199400000,89405.83000000,89412.00000000,88979.75000000,89060.00000000,254.20969000,1741200299999
1741200300000,89060.01000000,89801.57000000,89031.42000000,89712.00000000,380.38178000,1741201199999
1741201200000,89712.01000000,90152.00000000,89624.95000000,89905.66000000,329.13071000,1741202099999
1741202100000,89905.66000000,90084.34000000,89555.82000000,89754.71000000,232.69181000,1741202999999
1741203000000,89754.72000000,89900.00000000,89472.26000000,89867.69000000,167.41131000,1741203899999
1741203900000,89867.70000000,89992.00000000,89734.23000000,89750.00000000,166.09740000,1741204799999
1741204800000,89750.00000000,90268.01000000,89749.99000000,90099.66000000,189.34449000,1741205699999
1741205700000,90099.65000000,90107.47000000,89677.80000000,90018.11000000,188.36384000,1741206599999
1741206600000,90018.11000000,90358.25000000,89908.99000000,90358.25000000,207.17980000,1741207499999
1741207500000,90358.25000000,90555.00000000,90235.10000000,90499.64000000,325.31013000,1741208399999
1741208400000,90499.64000000,90700.00000000,90118.96000000,90310.25000000,192.65964000,1741209299999
1741209300000,90310.26000000,90424.83000000,89932.13000000,90279.61000000,165.43681000,1741210199999
1741210200000,90279.61000000,90279.61000000,89953.15000000,90164.22000000,155.97809000,1741211099999
1741211100000,90164.22000000,90502.53000000,90035.87000000,90377.54000000,136.78421000,1741211999999
1741212000000,90377.27000000,90474.65000000,90187.22000000,90273.99000000,137.32510000,1741212899999
1741212900000,90274.00000000,90350.00000000,90026.96000000,90041.06000000,133.41838000,1741213799999
1741213800000,90041.06000000,90320.49000000,90041.06000000,90252.00000000,192.78958000,1741214699999
1741214700000,90252.00000000,90536.91000000,90251.99000000,90449.46000000,78.89193000,1741215599999
1741215600000,90449.47000000,90582.01000000,90341.00000000,90371.64000000,118.23989000,1741216499999
1741216500000,90371.63000000,90606.88000000,90296.04000000,90543.14000000,112.51700000,1741217399999
1741217400000,90543.14000000,90888.00000000,90543.13000000,90861.53000000,180.68668000,1741218299999
1741218300000,90861.53000000,91000.00000000,90543.00000000,90606.01000000,363.89954000,1741219199999
1741219200000,90606.00000000,90815.31000000,90477.45000000,90508.43000000,325.98412000,1741220099999
1741220100000,90508.42000000,90673.22000000,90223.54000000,90370.00000000,170.07013000,1741220999999
1741221000000,90369.99000000,90447.89000000,90071.68000000,90132.08000000,192.01247000,1741221899999
1741221900000,90132.08000000,90227.43000000,89986.73000000,90046.34000000,153.93585000,1741222799999
1741222800000,90046.35000000,90419.15000000,90046.35000000,90419.14000000,152.96977000,1741223699999
1741223700000,90419.14000000,90520.35000000,90180.53000000,90340.00000000,163.95172000,1741224599999
1741224600000,90340.00000000,90688.00000000,90138.75000000,90677.99000000,219.79926000,1741225499999
1741225500000,90677.99000000,91903.01000000,90665.40000000,91057.19000000,1385.61704000,1741226399999
1741226400000,91057.20000000,91840.75000000,91038.01000000,91629.49000000,554.28771000,1741227299999
1741227300000,91629.48000000,91695.61000000,91146.01000000,91296.01000000,355.01910000,1741228199999
1741228200000,91296.00000000,91373.28000000,90999.77000000,91335.82000000,255.71391000,1741229099999
1741229100000,91335.81000000,92000.00000000,91335.79000000,91812.00000000,438.57780000,1741229999999
1741230000000,91811.99000000,92025.00000000,91565.39000000,91674.27000000,409.34549000,1741230899999
1741230900000,91674.26000000,91833.00000000,91556.56000000,91641.54000000,197.86930000,1741231799999
1741231800000,91641.54000000,91671.99000000,91458.34000000,91554.18000000,210.87941000,1741232699999
1741232700000,91554.18000000,91620.55000000,91405.76000000,91605.01000000,152.76319000,1741233599999
1741233600000,91605.02000000,91886.80000000,91566.57000000,91799.98000000,156.38361000,1741234499999
1741234500000,91799.99000000,91800.00000000,91526.36000000,91595.48000000,130.57183000,1741235399999
1741235400000,91595.48000000,92321.07000000,91591.36000000,92126.29000000,343.99165000,1741236299999
1741236300000,92126.30000000,92454.44000000,92024.68000000,92287.45000000,381.00917000,1741237199999
1741237200000,92287.45000000,92416.00000000,92124.00000000,92149.99000000,198.93216000,1741238099999
1741238100000,92150.00000000,92505.23000000,92149.99000000,92426.53000000,293.54826000,1741238999999
1741239000000,92426.53000000,92588.00000000,92362.00000000,92536.03000000,234.25672000,1741239899999
1741239900000,92536.03000000,92810.64000000,92492.96000000,92737.98000000,413.70363000,1741240799999
1741240800000,92737.99000000,92769.26000000,92315.22000000,92370.00000000,537.43056000,1741241699999
1741241700000,92370.00000000,92399.99000000,92078.28000000,92198.17000000,278.49435000,1741242599999
1741242600000,92198.17000000,92198.17000000,91796.31000000,91885.50000000,438.23450000,1741243499999
1741243500000,91885.49000000,92060.49000000,91784.35000000,91916.00000000,207.14854000,1741244399999
1741244400000,91916.01000000,91993.83000000,91610.00000000,91700.00000000,256.69858000,1741245299999
1741245300000,91700.00000000,91812.27000000,91622.64000000,91671.55000000,170.02905000,1741246199999
1741246200000,91671.54000000,91812.00000000,91483.27000000,91547.88000000,177.98897000,1741247099999
1741247100000,91547.88000000,91603.31000000,91265.96000000,91346.48000000,273.97836000,1741247999999
1741248000000,91346.49000000,91458.33000000,91158.34000000,91395.47000000,229.89303000,1741248899999
1741248900000,91395.48000000,91567.00000000,91379.16000000,91543.57000000,255.42164000,1741249799999
1741249800000,91543.57000000,91590.99000000,91376.71000000,91406.01000000,236.07055000,1741250699999
1741250700000,91406.00000000,91426.00000000,91121.34000000,91156.08000000,281.33513000,1741251599999
1741251600000,91156.08000000,91176.00000000,90692.84000000,90830.19000000,464.26840000,1741252499999
1741252500000,90830.18000000,91027.85000000,90635.42000000,90728.66000000,254.76839000,1741253399999
1741253400000,90728.65000000,90904.31000000,90613.17000000,90904.31000000,174.87071000,1741254299999
1741254300000,90904.31000000,90961.00000000,90631.35000000,90752.14000000,154.54049000,1741255199999
1741255200000,90752.14000000,91011.00000000,90613.37000000,91000.00000000,284.20060000,1741256099999
1741256100000,91000.00000000,91667.50000000,90948.70000000,91663.91000000,443.54676000,1741256999999
1741257000000,91663.91000000,91663.91000000,91207.54000000,91258.56000000,191.45671000,1741257899999
1741257900000,91258.56000000,91396.23000000,91217.22000000,91290.88000000,134.80915000,1741258799999
1741258800000,91290.89000000,91336.11000000,91003.71000000,91229.28000000,275.47935000,1741259699999
1741259700000,91229.29000000,91461.11000000,91229.28000000,91442.30000000,117.85628000,1741260599999
1741260600000,91442.29000000,91606.53000000,91242.71000000,91419.99000000,238.94927000,1741261499999
1741261500000,91420.00000000,91482.39000000,91313.18000000,91350.00000000,157.46266000,1741262399999
1741262400000,91350.00000000,91399.01000000,90910.47000000,91037.18000000,216.15708000,1741263299999
1741263300000,91037.19000000,91037.19000000,90607.00000000,90857.02000000,306.23430000,1741264199999
1741264200000,90857.02000000,90939.03000000,90189.81000000,90394.77000000,424.35733000,1741265099999
1741265100000,90394.77000000,90466.49000000,89829.02000000,90102.02000000,697.80255000,1741265999999
1741266000000,90102.02000000,90408.06000000,90045.28000000,90298.80000000,326.51469000,1741266899999
1741266900000,90298.79000000,90454.86000000,89962.00000000,90078.39000000,326.85151000,1741267799999
1741267800000,90078.40000000,90471.02000000,90039.31000000,90062.88000000,361.86425000,1741268699999
1741268700000,90062.88000000,90192.51000000,89450.06000000,89569.13000000,503.56286000,1741269599999
