open_time,open,high,low,close,volume,close_time
1741191300000,142.07000000,142.41000000,140.45000000,140.95000000,67722.45300000,1741192199999
1741192200000,140.94000000,141.77000000,140.18000000,140.86000000,51790.27800000,1741193099999
1741193100000,140.86000000,142.92000000,140.57000000,142.13000000,92897.37400000,1741193999999
1741194000000,142.12000000,143.06000000,141.91000000,142.68000000,53533.20900000,1741194899999
1741194900000,142.69000000,143.75000000,142.33000000,143.68000000,67758.55700000,1741195799999
1741195800000,143.68000000,144.50000000,142.64000000,143.06000000,70675.77100000,1741196699999
1741196700000,143.06000000,143.10000000,142.02000000,142.62000000,38025.03500000,1741197599999
1741197600000,142.61000000,143.31000000,141.80000000,142.87000000,62278.49400000,1741198499999
1741198500000,142.87000000,143.91000000,142.71000000,143.17000000,38747.87500000,1741199399999
1741199400000,143.18000000,143.18000000,142.45000000,142.54000000,22767.48400000,1741200299999
1741200300000,142.54000000,145.04000000,142.45000000,144.52000000,65133.10800000,1741201199999
1741201200000,144.52000000,146.47000000,144.25000000,145.47000000,76744.56700000,1741202099999
1741202100000,145.46000000,145.78000000,144.83000000,145.17000000,23263.44600000,1741202999999
1741203000000,145.18000000,145.45000000,144.54000000,145.12000000,23771.06400000,1741203899999
1741203900000,145.13000000,145.22000000,144.60000000,144.77000000,16067.78400000,1741204799999
1741204800000,144.78000000,145.90000000,144.78000000,145.49000000,23761.60400000,1741205699999
1741205700000,145.49000000,145.83000000,144.79000000,145.53000000,20392.74000000,1741206599999
1741206600000,145.53000000,146.08000000,145.21000000,145.66000000,23392.25800000,1741207499999
1741207500000,145.66000000,145.85000000,145.22000000,145.63000000,21055.10300000,1741208399999
1741208400000,145.62000000,145.78000000,144.85000000,145.08000000,21371.76300000,1741209299999
1741209300000,145.09000000,145.26000000,144.08000000,144.83000000,34016.41400000,1741210199999
1741210200000,144.82000000,144.82000000,143.91000000,144.50000000,15996.48400000,1741211099999
1741211100000,144.51000000,145.35000000,144.26000000,145.08000000,19385.12100000,1741211999999
1741212000000,145.07000000,145.40000000,144.97000000,145.27000000,13109.24900000,1741212899999
1741212900000,145.27000000,146.84000000,145.09000000,145.33000000,64197.88600000,1741213799999
1741213800000,145.32000000,146.08000000,145.32000000,145.97000000,25622.40600000,1741214699999
1741214700000,145.97000000,146.56000000,145.82000000,146.02000000,15079.80600000,1741215599999
1741215600000,146.03000000,146.23000000,145.56000000,145.66000000,20560.89800000,1741216499999
1741216500000,145.65000000,146.00000000,145.43000000,145.86000000,13445.40000000,1741217399999
1741217400000,145.85000000,146.81000000,145.85000000,146.65000000,26026.35400000,1741218299999
1741218300000,146.65000000,146.72000000,145.98000000,146.28000000,23343.70700000,1741219199999
1741219200000,146.27000000,147.11000000,145.81000000,146.17000000,47961.16100000,1741220099999
1741220100000,146.17000000,146.86000000,145.06000000,145.50000000,38077.06600000,1741220999999
1741221000000,145.49000000,145.71000000,144.75000000,144.94000000,25839.49800000,1741221899999
1741221900000,144.93000000,145.18000000,144.54000000,144.76000000,16010.05100000,1741222799999
1741222800000,144.77000000,145.84000000,144.71000000,145.80000000,31650.73600000,1741223699999
1741223700000,145.79000000,146.07000000,145.17000000,145.48000000,17907.99700000,1741224599999
1741224600000,145.48000000,146.51000000,144.83000000,146.41000000,27282.41600000,1741225499999
1741225500000,146.42000000,149.15000000,146.37000000,147.18000000,178413.16500000,1741226399999
1741226400000,147.17000000,148.87000000,146.97000000,148.63000000,47551.42200000,1741227299999
1741227300000,148.63000000,148.78000000,147.31000000,147.68000000,33492.95600000,1741228199999
1741228200000,147.67000000,147.82000000,147.01000000,147.40000000,23681.24400000,1741229099999
1741229100000,147.40000000,149.08000000,147.38000000,148.83000000,40332.94300000,1741229999999
1741230000000,148.84000000,150.68000000,148.80000000,149.06000000,77753.65600000,1741230899999
1741230900000,149.05000000,149.70000000,148.19000000,148.64000000,44256.84300000,1741231799999
1741231800000,148.64000000,149.07000000,147.94000000,149.06000000,34649.08900000,1741232699999
1741232700000,149.07000000,149.32000000,148.09000000,148.73000000,24657.67100000,1741233599999
1741233600000,148.73000000,148.96000000,147.70000000,148.81000000,34940.36700000,1741234499999
1741234500000,148.81000000,149.08000000,147.62000000,148.12000000,37265.11400000,1741235399999
1741235400000,148.12000000,149.47000000,147.93000000,149.15000000,51604.93900000,1741236299999
1741236300000,149.15000000,150.24000000,148.58000000,149.79000000,38749.52500000,1741237199999
1741237200000,149.80000000,150.06000000,148.44000000,148.55000000,39493.53600000,1741238099999
1741238100000,148.55000000,150.07000000,148.55000000,149.84000000,31505.12300000,1741238999999
1741239000000,149.84000000,150.66000000,149.55000000,150.33000000,49937.94800000,1741239899999
1741239900000,150.34000000,150.50000000,149.36000000,150.03000000,46466.86100000,1741240799999
1741240800000,150.03000000,150.15000000,148.95000000,149.07000000,44719.17800000,1741241699999
1741241700000,149.07000000,149.43000000,148.48000000,149.42000000,36486.17800000,1741242599999
1741242600000,149.43000000,149.46000000,149.00000000,149.22000000,22487.21300000,1741243499999
1741243500000,149.23000000,149.75000000,148.60000000,148.86000000,21347.68700000,1741244399999
1741244400000,148.86000000,149.35000000,148.48000000,148.99000000,20888.27400000,1741245299999
1741245300000,148.98000000,149.41000000,148.84000000,149.04000000,24827.37000000,1741246199999
1741246200000,149.04000000,149.57000000,148.72000000,149.04000000,35578.11500000,1741247099999
1741247100000,149.05000000,149.39000000,148.35000000,148.62000000,30040.49800000,1741247999999
1741248000000,148.63000000,149.04000000,148.34000000,148.70000000,33947.69900000,1741248899999
1741248900000,148.69000000,149.19000000,148.60000000,149.00000000,28135.17200000,1741249799999
1741249800000,148.99000000,151.05000000,148.79000000,150.69000000,57877.22000000,1741250699999
1741250700000,150.69000000,151.91000000,150.01000000,150.81000000,75668.98600000,1741251599999
1741251600000,150.81000000,150.86000000,149.21000000,149.52000000,45806.32600000,1741252499999
1741252500000,149.51000000,150.34000000,149.35000000,149.68000000,50671.63700000,1741253399999
1741253400000,149.68000000,150.37000000,149.34000000,149.76000000,43874.26000000,1741254299999
1741254300000,149.77000000,149.95000000,148.80000000,148.97000000,26958.12700000,1741255199999
1741255200000,148.97000000,149.80000000,148.64000000,149.64000000,36799.15600000,1741256099999
1741256100000,149.65000000,151.85000000,149.51000000,151.56000000,63865.93800000,1741256999999
1741257000000,151.55000000,152.43000000,151.35000000,151.82000000,72356.55800000,1741257899999
1741257900000,151.82000000,152.90000000,151.82000000,152.40000000,55623.93800000,1741258799999
1741258800000,152.39000000,152.76000000,151.20000000,151.75000000,49505.76800000,1741259699999
1741259700000,151.75000000,152.04000000,151.37000000,151.91000000,24295.14500000,1741260599999
1741260600000,151.90000000,152.27000000,151.41000000,151.80000000,35638.22500000,1741261499999
1741261500000,151.80000000,152.37000000,151.58000000,151.71000000,34565.95800000,1741262399999
1741262400000,151.71000000,151.92000000,150.19000000,150.37000000,56438.83800000,1741263299999
1741263300000,150.36000000,150.62000000,149.19000000,150.06000000,52527.13600000,1741264199999
1741264200000,150.06000000,150.48000000,148.92000000,149.29000000,41162.48100000,1741265099999
1741265100000,149.30000000,149.49000000,148.32000000,148.84000000,45505.70400000,1741265999999
1741266000000,148.84000000,149.30000000,147.97000000,148.75000000,74406.36500000,1741266899999
1741266900000,148.76000000,149.05000000,147.58000000,148.10000000,78636.81300000,1741267799999
1741267800000,148.10000000,148.86000000,147.89000000,148.46000000,36694.02000000,1741268699999
1741268700000,148.47000000,148.53000000,146.46000000,146.68000000,356397.40000000,1741269599999
1741269600000,146.69000000,147.61000000,146.36000000,147.44000000,52306.09700000,1741270499999
1741270500000,147.45000000,147.97000000,147.15000000,147.83000000,36728.06200000,1741271399999
1741271400000,147.83000000,148.32000000,145.06000000,145.49000000,126632.71400000,1741272299999
