url,status,source,signal_name,provider_hint,growth,profit,equity,started,latest_trade,trades_total,profit_trades,loss_trades,best_trade,worst_trade,profit_factor,expected_payoff,btc_deals,sol_deals
https://www.mql5.com/en/signals/138420,ok,mql5-public,MetaTrader 4 / SFE Portfolio1,SFE Portfolio1,1 555.61%,7 876.53 EUR,3 201.54 EUR,2023.10.20 01:16:40,1 day ago,3 171,2 057 (64.86%),1 114 (35.13%),1 028.33 EUR,-781.62 EUR,1.43,2.48 EUR,362,
https://www.mql5.com/en/signals/1506209,ok,mql5-public,MetaTrader 4 / BTC Portfolio I,BTC Portfolio I,2 562.51%,1 163 609.01 HKD,708 813.82 HKD,2022.04.29 18:58:10,19 hours ago,4 248,2 543 (59.86%),1 705 (40.14%),67 967.57 HKD,-25 916.80 HKD,1.21,273.92 HKD,1366,
https://www.mql5.com/en/signals/1521998,ok,mql5-public,MetaTrader 5 / Crypto Trading Pepper,Crypto Trading Pepper,2 789.81%,119 532.21 USD,103 032.21 USD,2022.05.11 13:01:44,19 hours ago,1 633,768 (47.03%),865 (52.97%),4 980.80 USD,-1 924.22 USD,1.29,73.20 USD,1344,
https://www.mql5.com/en/signals/1719023,ok,mql5-public,MetaTrader 4 / GlobalX Multistrategies,GlobalX Multistrategies,623.41%,4 113.01 EUR,18 934.44 EUR,2025.07.21 09:11:15,50 minutes ago,2 847,1 724 (60.55%),1 123 (39.45%),228.94 EUR,-184.69 EUR,1.16,1.44 EUR,230,
https://www.mql5.com/en/signals/1733248,ok,mql5-public,MetaTrader 5 / InvestForce Passion,InvestForce Passion,278.17%,1 011.38 USD,10 906.84 USD,2022.10.05 18:41:59,2 days ago,1 728,1 173 (67.88%),555 (32.12%),634.32 USD,-1 769.02 USD,1.03,0.59 USD,,
https://www.mql5.com/en/signals/1737977,ok,mql5-public,MetaTrader 4 / Stable growth pro,Stable growth pro,151.24%,7 398.56 EUR,10 891.73 EUR,2022.10.11 09:11:04,6 hours ago,7 979,5 557 (69.64%),2 422 (30.35%),365.91 EUR,-471.30 EUR,1.18,0.93 EUR,49,
https://www.mql5.com/en/signals/1762388,ok,mql5-public,MetaTrader 4 / EA Happy Bitcoin M30 TMGM,EA Happy Bitcoin M30 TMGM,206.59%,10 329.36 USD,15 329.36 USD,2022.11.04 18:27:01,38 minutes ago,949,836 (88.09%),113 (11.91%),667.50 USD,-625.00 USD,1.30,10.88 USD,949,
https://www.mql5.com/en/signals/1815712,ok,mql5-public,MetaTrader 4 / MEA Exness,MEA Exness,318.16%,1 935.53 USD,2 214.05 USD,2023.01.01 14:41:34,8 hours ago,585,265 (45.29%),320 (54.70%),237.54 USD,-239.11 USD,1.37,3.31 USD,356,
https://www.mql5.com/en/signals/1887334,ok,mql5-public,MetaTrader 4 / Niguru GBP,Niguru GBP,18 709.80%,1 995.88 USD,2 643.87 USD,"2023.03.08 17:48:56 Watch the video tutorials about trading signals on YouTube Niguru GBP Nino Guevara Ruwano 1 review Reliability 157 weeks 0 / 0 USD Copy for 888 USD per month growth since 2023 18 710% FBS-Real-3 1:500 How to subscribe? Account Trading history Statistics Risks Slippage Description Reviews 1 What's new To see trades in realtime, please log in or register Growth Balance How is the Growth in Signals Calculated? Equity Drawdown Trades: 1 380 Profit Trades: 1 222 (88.55%) Loss Trades: 158 (11.45%) Best trade: 115.84 USD Worst trade: -93.15 USD Gross Profit: 3 978.97 USD ( 345 095 pips) Gross Loss: -1 983.09 USD ( 190 276 pips) Maximum consecutive wins: 93 ( 616.99 USD) Maximal consecutive profit: 616.99 USD (93) Sharpe Ratio: 0.22 Trading activity: 62.17% Max deposit load: 13.36% Latest trade: 25 minutes ago Trades per week: 19 Avg holding time: 5 days Recovery Factor: 3.95 Long Trades: 879 (63.70%) Short Trades: 501 (36.30%) Profit Factor: 2.01 Expected Payoff: 1.45 USD Average Profit: 3.26 USD Average Loss: -12.55 USD Maximum consecutive losses: 13 ( -437.85 USD) Maximal consecutive loss: -437.85 USD (13) Monthly growth: 1.67% Annual Forecast: 20.31% Algo trading: 100% Drawdown by balance: Absolute: 0.00 USD Maximal: 505.53 USD (20.73%) Relative drawdown: By Balance: 25.40% ( 33.99 USD) By Equity: 39.36% ( 28.55 USD) Distribution Symbol Deals Sell Buy GBPUSD 1379 XAUUSD 1 250 500 750 1K 1.3K 1.5K 1.8K 2K 250 500 750 1K 1.3K 1.5K 1.8K 2K 250 500 750 1K 1.3K 1.5K 1.8K 2K Symbol Gross Profit, USD Loss, USD Profit, USD GBPUSD 2K XAUUSD 0 1K 2K 3K 4K 5K 6K 1K 2K 3K 4K 5K 6K 1K 2K 3K 4K 5K 6K Symbol Gross Profit, pips Loss, pips Profit, pips GBPUSD 155K XAUUSD 3 100K 200K 300K 400K 500K 600K 100K 200K 300K 400K 500K 600K 100K 200K 300K 400K 500K 600K Deposit load Drawdown Best trade: &#x2B;115.84 USD Worst trade: -93 USD Maximum consecutive wins: 93 Maximum consecutive losses: 13 Maximal consecutive profit: &#x2B;616.99 USD Maximal consecutive loss: -437.85 USD The average slippage based on execution statistics on real accounts of various brokers is specified in pips. It depends on the difference between the provider's quotes from ""FBS-Real-3"" and the subscriber's quotes, as well as on order execution delays. Lower values mean better quality of copying. TitanFX-05 0.00 &times; 8 OctaFX-Real6 0.00 &times; 1 FPMarkets-Live 0.00 &times; 1 ICMarkets-Live17 0.00 &times; 6 EvolveMarkets-MT4 Live Server 0.00 &times; 2 FusionMarkets-Live 2 0.00 &times; 1 EightcapLtd-Real-4 0.00 &times; 1 AxioryAsia-06Live 0.00 &times; 1 RallyvilleMarkets-Live 0.00 &times; 1 VantageFX-Live 3 0.00 &times; 1 VantageFXInternational-Live 4 0.00 &times; 3 ICMarkets-Live22 0.00 &times; 4 TopFXGlobal-Live Server 0.00 &times; 3 ICTrading-Live31 0.00 &times; 21 Exness-Real14 0.00 &times; 6 ICMarketsSC-Live24 0.00 &times; 1 SuperForex-Real 0.00 &times; 18 Axi-US02-Live 0.00 &times; 3 TPGlobal-Live 0.00 &times; 10 Axi-US07-Live 0.00 &times; 3 LiteFinance-ECN2.com 0.00 &times; 2 FBS-Real-12 0.00 &times; 2 ForexClub-MT4 Market Real 3 Server 0.00 &times; 6 QtradeFX-Live2 0.00 &times; 1 VantageFXInternational-Live 8 0.00 &times; 2 324 more... To see trades in realtime, please log in or register CFDs &amp; leveraged FX are complex instruments and come with a high risk of losing money rapidly due to leverage. Trading isn’t suitable for everyone and you should consider whether you understand how these products work and whether you can afford to take the high risk of losing your money. If there are problems using copying this trade signal, try to check whether the opening trades on your account are really the same as the opening trades shown in history. If there are problems, please contact me via PM. I will be happy to help solve your problem with pleasure. Make sure your account is synchronized correctly, so that every position opened and closed on this account will be the same as yours. Average rating: 360 Juergen Schnitzler 2023.06.16 10:12 # This is a very strange signal. I've got nothing running on GBPUSD except Niguru GBP. Interestingly, the trades which have got Niguru GBP in the comment, usually close with some earnings. BUT, the signal additionally opens trades in GBPUSD pair which aren't labelled Niguru GBP but ""from #3xxxxxxxxx"" instead. It seems to me that Niguru itself is getting signals which are copied to my account, too. These signals, though, are horrible and end in huge losses. So, Mr. Ruwano, stop sending me the additional trades and keep it with Niguru only - immediately! 2025.10.22 15:02 Removed warning: Low trading activity - not enough trades detected during the last month 2025.10.21 23:40 Removed warning: No trading activity detected on the Signal's account for the recent period 2025.10.18 18:07 Low trading activity - only 6 trades detected in the last month 2025.10.14 22:17 Removed warning: Low trading activity - not enough trades detected during the last month 2025.10.09 15:35 Low trading activity - only 7 trades detected in the last month 2025.10.03 20:36 Removed warning: Low trading activity - not enough trades detected during the last month 2025.10.03 07:53 Low trading activity - only 7 trades detected in the last month 2025.09.26 14:55 Removed warning: No trading activity detected on the Signal's account for the recent period 2025.09.25 05:45 No trading activity detected on the Signal's account for the last 6 days 2025.08.05 13:48 Removed warning: No trading activity detected on the Signal's account for the recent period 2025.08.03 18:40 No trading activity detected on the Signal's account for the last 6 days 2025.07.07 07:09 No swaps are charged on the signal account 2025.06.30 07:34 No swaps are charged 2025.06.30 07:34 No swaps are charged 2025.06.12 15:00 No swaps are charged on the signal account 2025.05.20 12:15 Removed warning: High current drawdown indicates the absence of risk limitation 2025.05.20 11:09 High current drawdown in 30% indicates the absence of risk limitation 2025.05.19 23:20 Removed warning: High current drawdown indicates the absence of risk limitation 2025.05.19 21:14 High current drawdown in 30% indicates the absence of risk limitation 2025.05.03 21:11 Removed warning: Too much growth in the last month indicates a high risk More &darr; To see trades in realtime, please log in or register Signal Price Growth Subscribers Funds Balance Weeks Expert Advisors Trades Win % Activity PF Expected Payoff Drawdown Leverage Niguru GBP 888 USD per month 18 710% 0 0 USD 3.7K USD 157 100% 1 380 88% 62% 2.00 1.45 USD 39% 1:500 Copy Start copying in MetaTrader &rarr; How trade copying is performed in MetaTrader? Watch video tutorial Subscription to a signal allows you to copy provider's trades within 1 month. In order for subscription to work, you should use MetaTrader 4 trading terminal. If you have not installed the platform yet, you can download it here . Online trading / WebTerminal Free technical indicators and robots Articles about programming and trading Order trading robots on the Freelance Market of Expert Advisors and applications&#x9; Follow forex signals Low latency forex VPS Traders forum Trading blogs Charts Free widgets MetaTrader 5 Trading Platform MetaTrader 5 latest updates News, implementations and technology MetaTrader 5 User Manual MQL5 language of trading strategies MQL5 Cloud Network MQL5 Algo Forge Download MetaTrader 5 Install Platform Uninstall Platform About Timeline Terms and Conditions Recurring Payment Agreement Agency Agreement – Offer Privacy and Data Protection Policy Cookies Policy Contacts and requests MetaTrader 5 Download MetaTrader 5 for Windows Download MetaTrader 5 for MacOS Download MetaTrader 5 for Linux Open MetaTrader 5 WebTerminal Scan to install from App Store Scan to install from Google Play Scan to install from Huawei AppGallery Scan to get Android APK file MQL5 Channels Scan to install from App Store Scan to install from Google Play Scan to install from Huawei AppGallery Scan to get Android APK file Economic Calendar Scan to install from App Store Scan to install from Google Play Scan to install from Huawei AppGallery Scan to get Android APK file Follow us on socials for top articles and CodeBase updates Not a broker, no real trading accounts 35 Dodekanisou str, Germasogeia, 4043, Limassol, Cyprus Copyright 2000-2026, MetaQuotes Ltd",25 minutes ago,1 380,1 222 (88.55%),158 (11.45%),115.84 USD,-93.15 USD,2.01,1.45 USD,,
https://www.mql5.com/en/signals/1905285,ok,mql5-public,MetaTrader 4 / Tem9 2,Tem9 2,235.22%,2 943.91 EUR,2 868.78 EUR,2023.03.25 17:28:36,41 minutes ago,12 081,9 771 (80.87%),2 310 (19.12%),795.35 EUR,-684.38 EUR,1.23,0.24 EUR,3,
