url,status,source,signal_name,provider_hint,growth,profit,equity,started,latest_trade,trades_total,profit_trades,loss_trades,best_trade,worst_trade,profit_factor,expected_payoff,btc_deals,sol_deals
https://www.mql5.com/en/signals/138420,ok,mql5-public,MetaTrader 4 / SFE Portfolio1,SFE Portfolio1,1 555.61%,7 876.53 EUR,3 201.54 EUR,2023.10.20 01:16:40,1 day ago,3 171,2 057 (64.86%),1 114 (35.13%),1 028.33 EUR,-781.62 EUR,1.43,2.48 EUR,362,
https://www.mql5.com/en/signals/1506209,ok,mql5-public,MetaTrader 4 / BTC Portfolio I,BTC Portfolio I,2 562.51%,1 163 609.01 HKD,708 813.82 HKD,2022.04.29 18:58:10,19 hours ago,4 248,2 543 (59.86%),1 705 (40.14%),67 967.57 HKD,-25 916.80 HKD,1.21,273.92 HKD,1366,
https://www.mql5.com/en/signals/1521998,ok,mql5-public,MetaTrader 5 / Crypto Trading Pepper,Crypto Trading Pepper,2 789.81%,119 532.21 USD,103 032.21 USD,2022.05.11 13:01:44,19 hours ago,1 633,768 (47.03%),865 (52.97%),4 980.80 USD,-1 924.22 USD,1.29,73.20 USD,1344,
https://www.mql5.com/en/signals/1719023,ok,mql5-public,MetaTrader 4 / GlobalX Multistrategies,GlobalX Multistrategies,623.41%,4 113.01 EUR,18 934.44 EUR,2025.07.21 09:11:15,50 minutes ago,2 847,1 724 (60.55%),1 123 (39.45%),228.94 EUR,-184.69 EUR,1.16,1.44 EUR,230,
https://www.mql5.com/en/signals/1733248,ok,mql5-public,MetaTrader 5 / InvestForce Passion,InvestForce Passion,278.17%,1 011.38 USD,10 906.84 USD,2022.10.05 18:41:59,2 days ago,1 728,1 173 (67.88%),555 (32.12%),634.32 USD,-1 769.02 USD,1.03,0.59 USD,,
https://www.mql5.com/en/signals/1737977,ok,mql5-public,MetaTrader 4 / Stable growth pro,Stable growth pro,151.24%,7 398.56 EUR,10 891.73 EUR,2022.10.11 09:11:04,6 hours ago,7 979,5 557 (69.64%),2 422 (30.35%),365.91 EUR,-471.30 EUR,1.18,0.93 EUR,49,
https://www.mql5.com/en/signals/1762388,ok,mql5-public,MetaTrader 4 / EA Happy Bitcoin M30 TMGM,EA Happy Bitcoin M30 TMGM,206.59%,10 329.36 USD,15 329.36 USD,2022.11.04 18:27:01,38 minutes ago,949,836 (88.09%),113 (11.91%),667.50 USD,-625.00 USD,1.30,10.88 USD,949,
https://www.mql5.com/en/signals/1815712,ok,mql5-public,MetaTrader 4 / MEA Exness,MEA Exness,318.16%,1 935.53 USD,2 214.05 USD,2023.01.01 14:41:34,8 hours ago,585,265 (45.29%),320 (54.70%),237.54 USD,-239.11 USD,1.37,3.31 USD,356,
https://www.mql5.com/en/signals/1887334,ok,mql5-public,MetaTrader 4 / Niguru GBP,Niguru GBP,18 709.80%,1 995.88 USD,2 643.87 USD,2023.03.08 17:48:56,25 minutes ago,1 380,1 222 (88.55%),158 (11.45%),115.84 USD,-93.15 USD,2.01,1.45 USD,,
https://www.mql5.com/en/signals/1905285,ok,mql5-public,MetaTrader 4 / Tem9 2,Tem9 2,235.22%,2 943.91 EUR,2 868.78 EUR,2023.03.25 17:28:36,41 minutes ago,12 081,9 771 (80.87%),2 310 (19.12%),795.35 EUR,-684.38 EUR,1.23,0.24 EUR,3,
https://www.mql5.com/en/signals/1932739,ok,mql5-public,MetaTrader 4 / TP TRADER,TP TRADER,1 447.63%,93 223.05 USD,53 223.05 USD,2025.12.02 02:50:53,11 minutes ago,13 926,6 673 (47.91%),7 253 (52.08%),1 071.36 USD,-440.64 USD,1.48,6.69 USD,1,
https://www.mql5.com/en/signals/2049326,ok,mql5-public,MetaTrader 5 / SFE Impulse,SFE Impulse,265.24%,2 007.86 EUR,1 857.86 EUR,2023.08.22 01:02:23,5 hours ago,799,472 (59.07%),327 (40.93%),53.36 EUR,-51.88 EUR,1.48,2.51 EUR,367,
