symbol,fold,baseline_acc,lstm_proxy_acc
BTCUSDT,1,0.4843011478730587,0.5028696826468603
BTCUSDT,2,0.487339635381499,0.49696151249155973
BTCUSDT,3,0.47602970965563807,0.4952734638757596
BTCUSDT,4,0.4777177582714382,0.49949358541525996
BTCUSDT,5,0.4679270762997974,0.5040513166779204
SOLUSDT,1,0.49054692775151926,0.49476704929101956
SOLUSDT,2,0.487170830519919,0.4832883187035787
SOLUSDT,3,0.4660702228224173,0.4861580013504389
SOLUSDT,4,0.4736664415935179,0.4972991222147198
SOLUSDT,5,0.474510465901418,0.5010128291694801
