symbol,fold,baseline_acc,lstm_proxy_acc
BTCUSDT,1,0.4843854936198791,0.4966420416386837
BTCUSDT,2,0.48774345198119545,0.5016789791806582
BTCUSDT,3,0.47548690396239085,0.49630624580255206
BTCUSDT,4,0.4768300873069174,0.5005036937541975
BTCUSDT,5,0.4709536601746138,0.5043653458697113
SOLUSDT,1,0.49009402283411685,0.5052048354600402
SOLUSDT,2,0.48774345198119545,0.4828744123572868
SOLUSDT,3,0.4654130288784419,0.4860644728005373
SOLUSDT,4,0.4738079247817327,0.501846877098724
SOLUSDT,5,0.4749832102081934,0.49848891873740764
